date,initial_wealth,initial_weights,end_wealth,end_weights,transaction_cost
2024-01-29 00:00:00+00:00,2000.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2010.2638570666572,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.        ]",11
2024-02-05 00:00:00+00:00,2015.3400735796097,"[0.09071391 0.0900113  0.0904314  0.09089193 0.09173396 0.09316969
 0.08936369 0.090896   0.08886061 0.09194909 0.09197843 0.        ]",2021.240158873213,"[0.09071391 0.0900113  0.0904314  0.09089193 0.09173396 0.09316969
 0.08936369 0.090896   0.08886061 0.09194909 0.09197843 0.        ]",0
2024-02-12 00:00:00+00:00,2033.855076853411,"[0.09235246 0.08920443 0.09230848 0.09159944 0.09200687 0.09024405
 0.08901592 0.0901911  0.08971608 0.09240037 0.09096081 0.        ]",2046.9631704151782,"[0.09235246 0.08920443 0.09230848 0.09159944 0.09200687 0.09024405
 0.08901592 0.0901911  0.08971608 0.09240037 0.09096081 0.        ]",0
2024-02-19 00:00:00+00:00,2075.405458357888,"[0.09286214 0.08884002 0.09145839 0.0918715  0.09242972 0.09020244
 0.08959315 0.08981333 0.08954153 0.09253595 0.09085183 0.        ]",2104.2869170434183,"[0.09286214 0.08884002 0.09145839 0.0918715  0.09242972 0.09020244
 0.08959315 0.08981333 0.08954153 0.09253595 0.09085183 0.        ]",0
2024-02-26 00:00:00+00:00,2121.6856882208776,"[0.09329922 0.08844307 0.09195357 0.09109551 0.09266305 0.0918465
 0.08847819 0.09096326 0.08846326 0.09083364 0.09196074 0.        ]",2139.506532335416,"[0.09329922 0.08844307 0.09195357 0.09109551 0.09266305 0.0918465
 0.08847819 0.09096326 0.08846326 0.09083364 0.09196074 0.        ]",0
2024-03-04 00:00:00+00:00,2149.8755000611263,"[0.09431649 0.08754353 0.09259172 0.09139867 0.09280804 0.08992466
 0.08887925 0.09196688 0.09093215 0.09045114 0.08918747 0.        ]",2160.798408769331,"[0.09431649 0.08754353 0.09259172 0.09139867 0.09280804 0.08992466
 0.08887925 0.09196688 0.09093215 0.09045114 0.08918747 0.        ]",0
2024-03-11 00:00:00+00:00,2160.4913860507027,"[0.0958607  0.08722596 0.0961654  0.09179423 0.0926239  0.08919139
 0.08932946 0.08939252 0.09053137 0.08980296 0.08808212 0.        ]",2160.7609064464846,"[0.0958607  0.08722596 0.0961654  0.09179423 0.0926239  0.08919139
 0.08932946 0.08939252 0.09053137 0.08980296 0.08808212 0.        ]",0
2024-03-18 00:00:00+00:00,2186.789580783136,"[0.09531431 0.08893783 0.09589252 0.09210251 0.0938987  0.08996411
 0.08839476 0.08737824 0.09001765 0.0887829  0.08931647 0.        ]",2213.4631662266047,"[0.09531431 0.08893783 0.09589252 0.09210251 0.0938987  0.08996411
 0.08839476 0.08737824 0.09001765 0.0887829  0.08931647 0.        ]",0
2024-03-25 00:00:00+00:00,2251.1608190355346,"[0.09561951 0.08751368 0.09711631 0.09243738 0.09316635 0.08791141
 0.0883878  0.08853815 0.09174293 0.08899084 0.08857566 0.        ]",2289.839948988425,"[0.09561951 0.08751368 0.09711631 0.09243738 0.09316635 0.08791141
 0.0883878  0.08853815 0.09174293 0.08899084 0.08857566 0.        ]",0
2024-04-01 00:00:00+00:00,2270.660336752835,"[0.0963026  0.0891823  0.10174371 0.09200093 0.09373699 0.08787925
 0.08676478 0.08668852 0.09182731 0.0870028  0.08687081 0.        ]",2252.5611581920325,"[0.0963026  0.0891823  0.10174371 0.09200093 0.09373699 0.08787925
 0.08676478 0.08668852 0.09182731 0.0870028  0.08687081 0.        ]",0
