date,initial_wealth,initial_weights,end_wealth,end_weights,transaction_cost
2024-01-29 00:00:00+00:00,2000.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2010.0212511833506,"[0.07084158 0.09124367 0.17584467 0.14115303 0.09356154 0.07921807
 0.06930908 0.03664491 0.08033435 0.07349072 0.0883584  0.        ]",11
2024-02-05 00:00:00+00:00,2014.9563545298802,"[0.0707106  0.09036956 0.17497293 0.14116854 0.09443868 0.08121221
 0.06815121 0.03665058 0.07854761 0.07435365 0.08942444 0.        ]",2019.210896572177,"[0.0707106  0.09036956 0.17497293 0.14116854 0.09443868 0.08121221
 0.06815121 0.03665058 0.07854761 0.07435365 0.08942444 0.        ]",1
2024-02-12 00:00:00+00:00,2036.915063375797,"[0.07180752 0.08933516 0.17815748 0.14191106 0.09448238 0.07846502
 0.06771596 0.03627527 0.07910516 0.07453143 0.08821357 0.        ]",2055.208165825464,"[0.07180752 0.08933516 0.17815748 0.14191106 0.09448238 0.07846502
 0.06771596 0.03627527 0.07910516 0.07453143 0.08821357 0.        ]",0
2024-02-19 00:00:00+00:00,2082.404616563528,"[0.07225099 0.08902835 0.17663209 0.14242554 0.09497862 0.07848008
 0.06819959 0.03614692 0.07900283 0.07468955 0.08816544 0.        ]",2110.015244675608,"[0.07225099 0.08902835 0.17663209 0.14242554 0.09497862 0.07848008
 0.06819959 0.03614692 0.07900283 0.07468955 0.08816544 0.        ]",0
2024-02-26 00:00:00+00:00,2126.8882764979417,"[0.07261061 0.08865443 0.17763629 0.1412606  0.09524404 0.07993201
 0.06736902 0.0366196  0.0780725  0.0733353  0.0892656  0.        ]",2144.1357859314608,"[0.07261061 0.08865443 0.17763629 0.1412606  0.09524404 0.07993201
 0.06736902 0.0366196  0.0780725  0.0733353  0.0892656  0.        ]",0
2024-03-04 00:00:00+00:00,2154.434322267536,"[0.07340547 0.08775652 0.17887678 0.14173681 0.09539718 0.07826285
 0.06767731 0.03702522 0.08025486 0.07302964 0.08657735 0.        ]",2164.236900036443,"[0.07340547 0.08775652 0.17887678 0.14173681 0.09539718 0.07826285
 0.06767731 0.03702522 0.08025486 0.07302964 0.08657735 0.        ]",1
2024-03-11 00:00:00+00:00,2174.5969855543603,"[0.07424133 0.08700925 0.18486936 0.14165193 0.09474085 0.07724388
 0.06768645 0.03581226 0.07950918 0.07215061 0.0850849  0.        ]",2184.6951837124498,"[0.07424133 0.08700925 0.18486936 0.14165193 0.09474085 0.07724388
 0.06768645 0.03581226 0.07950918 0.07215061 0.0850849  0.        ]",1
2024-03-18 00:00:00+00:00,2214.5833393074236,"[0.07369913 0.0885738  0.18404751 0.14189845 0.09588991 0.07778745
 0.0668702  0.03494886 0.07893052 0.07121604 0.08613812 0.        ]",2241.0129030069397,"[0.07369913 0.0885738  0.07421697 0.14189845 0.09588991 0.07778745
 0.0668702  0.03494886 0.07893052 0.18104658 0.08613812 0.        ]",2
2024-03-25 00:00:00+00:00,2277.9011736204197,"[0.07397661 0.0872044  0.07520633 0.14249431 0.09519544 0.07605525
 0.06690247 0.03543266 0.08048845 0.18157246 0.08547161 0.        ]",2314.67100651888,"[0.07397661 0.0872044  0.07520633 0.14249431 0.09519544 0.07605525
 0.06690247 0.03543266 0.08048845 0.18157246 0.08547161 0.        ]",1
2024-04-01 00:00:00+00:00,2290.83290917651,"[0.07464984 0.08903977 0.07894282 0.14209704 0.09596458 0.07617513
 0.06580156 0.03475985 0.080719   0.17786105 0.08398936 0.        ]",2268.0815226190193,"[0.07464984 0.08903977 0.07894282 0.14209704 0.09596458 0.07617513
 0.06580156 0.03475985 0.080719   0.17786105 0.08398936 0.        ]",0
2024-04-08 00:00:00+00:00,2218.112660563929,"[0.07398653 0.0897327  0.07911634 0.14002031 0.09596355 0.07750257
 0.06642396 0.03448718 0.08132138 0.17639478 0.08505068 0.        ]",2169.468482802731,"[0.07398653 0.0897327  0.07911634 0.14002031 0.09596355 0.07750257
 0.06642396 0.03448718 0.08132138 0.17639478 0.08505068 0.        ]",0
2024-04-15 00:00:00+00:00,2144.1732720256387,"[0.07406016 0.08871491 0.07908374 0.14280384 0.09517586 0.07349626
 0.06817842 0.0336197  0.08385715 0.17852713 0.08248283 0.        ]",2120.29841242403,"[0.07406016 0.08871491 0.07908374 0.14280384 0.09517586 0.07349626
 0.06817842 0.0336197  0.08385715 0.17852713 0.08248283 0.        ]",0
2024-04-22 00:00:00+00:00,2151.575805328946,"[0.07344297 0.08812932 0.07856597 0.14226133 0.09549732 0.07517404
 0.06822527 0.03366653 0.08359801 0.17721072 0.08422849 0.        ]",2183.5359632624886,"[0.07344297 0.08812932 0.07856597 0.14226133 0.09549732 0.07517404
 0.06822527 0.03366653 0.08359801 0.17721072 0.08422849 0.        ]",0
2024-04-29 00:00:00+00:00,2190.7997682827513,"[0.07320765 0.08794677 0.07571275 0.1408518  0.09526604 0.07594464
 0.06825994 0.03407029 0.0861154  0.17772105 0.08490368 0.        ]",2198.5597188007573,"[0.07320765 0.08794677 0.07571275 0.1408518  0.09526604 0.07594464
 0.06825994 0.03407029 0.0861154  0.17772105 0.08490368 0.        ]",0
2024-05-06 00:00:00+00:00,2246.8033387440237,"[0.07348402 0.08775357 0.07509546 0.14217808 0.09543007 0.07541095
 0.06832591 0.03405017 0.08778921 0.1773132  0.08316935 0.        ]",2296.3168117458945,"[0.07348402 0.08775357 0.07509546 0.14217808 0.09543007 0.07541095
 0.06832591 0.03405017 0.08778921 0.1773132  0.08316935 0.        ]",0
2024-05-13 00:00:00+00:00,2325.3554433133213,"[0.07281132 0.08752652 0.07505076 0.14261787 0.09397592 0.07674455
 0.06798554 0.0344698  0.08799446 0.17841583 0.08240743 0.        ]",2353.925312908119,"[0.07281132 0.08752652 0.07505076 0.14261787 0.09397592 0.07674455
 0.06798554 0.0344698  0.08799446 0.17841583 0.08240743 0.        ]",1
2024-05-20 00:00:00+00:00,2324.527228935096,"[0.07310004 0.08899825 0.07312672 0.14143046 0.09450383 0.07895155
 0.06786825 0.03363595 0.08807263 0.17833835 0.08197396 0.        ]",2295.896389229595,"[0.07310004 0.08899825 0.07312672 0.14143046 0.09450383 0.07895155
 0.06786825 0.03363595 0.08807263 0.17833835 0.08197396 0.        ]",0
2024-05-27 00:00:00+00:00,2298.478197409394,"[0.07315381 0.08923052 0.07450754 0.14137345 0.09367714 0.07701947
 0.06800304 0.03422785 0.08947479 0.17724992 0.08208247 0.        ]",2301.341448685939,"[0.07315381 0.08923052 0.07450754 0.14137345 0.09367714 0.07701947
 0.06800304 0.03422785 0.08947479 0.17724992 0.08208247 0.        ]",0
2024-06-03 00:00:00+00:00,2298.4991438974575,"[0.07185188 0.09056412 0.07203031 0.14100438 0.09289689 0.07911083
 0.06836886 0.03419813 0.08616069 0.18084065 0.08297326 0.        ]",2296.5714283795546,"[0.07185188 0.09056412 0.07203031 0.14100438 0.09289689 0.07911083
 0.06836886 0.03419813 0.08616069 0.18084065 0.08297326 0.        ]",0
2024-06-10 00:00:00+00:00,2291.34808229339,"[0.07136602 0.09048018 0.07063013 0.13849794 0.09221053 0.08373015
 0.06789822 0.0347816  0.0863571  0.1805721  0.08347603 0.        ]",2286.9756686289907,"[0.07136602 0.09048018 0.07063013 0.13849794 0.09221053 0.08373015
 0.06789822 0.0347816  0.0863571  0.1805721  0.08347603 0.        ]",0
2024-06-17 00:00:00+00:00,2309.4160654144707,"[0.07119676 0.09046367 0.07130233 0.13944648 0.09268632 0.08318606
 0.06786759 0.03439893 0.08484547 0.17995748 0.0846489  0.        ]",2331.2266215802983,"[0.07119676 0.09046367 0.07130233 0.13944648 0.09268632 0.08318606
 0.06786759 0.03439893 0.08484547 0.17995748 0.0846489  0.        ]",1
2024-06-24 00:00:00+00:00,2318.445122892768,"[0.07052709 0.09173345 0.0728138  0.13946886 0.09236362 0.08284634
 0.06728406 0.03452566 0.08377637 0.17964309 0.08501767 0.        ]",2304.9230734354564,"[0.07052709 0.09173345 0.0728138  0.13946886 0.09236362 0.08284634
 0.06728406 0.03452566 0.08377637 0.17964309 0.08501767 0.        ]",1
2024-07-01 00:00:00+00:00,2332.053634854076,"[0.06971349 0.09313458 0.07170895 0.13983966 0.09111412 0.08443732
 0.06770332 0.03437195 0.08397159 0.17661008 0.08739493 0.        ]",2360.0165574449948,"[0.06971349 0.09313458 0.07170895 0.13983966 0.09111412 0.08443732
 0.06770332 0.03437195 0.08397159 0.17661008 0.08739493 0.        ]",0
2024-07-08 00:00:00+00:00,2399.837267947225,"[0.07058458 0.09007592 0.0708478  0.14030013 0.0917902  0.08336428
 0.06664014 0.03529312 0.08584283 0.17832194 0.08693906 0.        ]",2444.643271797656,"[0.07058458 0.09007592 0.0708478  0.03993939 0.0917902  0.08336428
 0.06664014 0.13565387 0.08584283 0.17832194 0.08693906 0.        ]",2
2024-07-15 00:00:00+00:00,2432.5068945395433,"[0.07063105 0.08926673 0.07265645 0.0405838  0.09276074 0.07914685
 0.06752605 0.13810341 0.08490307 0.17872815 0.08569372 0.        ]",2420.337104359595,"[0.07063105 0.08926673 0.07265645 0.0405838  0.09276074 0.07914685
 0.06752605 0.13810341 0.08490307 0.17872815 0.08569372 0.        ]",1
2024-07-22 00:00:00+00:00,2424.674847392474,"[0.07145925 0.08763081 0.07238514 0.04104063 0.09365518 0.07736341
 0.06775051 0.13860501 0.08600801 0.18093005 0.08317201 0.        ]",2429.537598641311,"[0.07145925 0.08763081 0.07238514 0.04104063 0.09365518 0.07736341
 0.06775051 0.13860501 0.08600801 0.18093005 0.08317201 0.        ]",0
2024-07-29 00:00:00+00:00,2418.3354762907024,"[0.07077625 0.08913061 0.06973085 0.03994851 0.09142948 0.0735676
 0.06873207 0.14311028 0.09010938 0.18285903 0.08060593 0.        ]",2409.240012965513,"[0.07077625 0.08913061 0.06973085 0.03994851 0.09142948 0.0735676
 0.06873207 0.14311028 0.09010938 0.18285903 0.08060593 0.        ]",0
2024-08-05 00:00:00+00:00,2406.893327076115,"[0.06968076 0.08971235 0.07059631 0.0403107  0.09267444 0.07396667
 0.0687036  0.14307871 0.08945592 0.18196962 0.07985093 0.        ]",2406.2974455392205,"[0.06968076 0.08971235 0.07059631 0.14722436 0.09267444 0.07396667
 0.0687036  0.14307871 0.08945592 0.07505596 0.07985093 0.        ]",2
2024-08-12 00:00:00+00:00,2463.5480460734993,"[0.0696062  0.08870731 0.06977322 0.14844947 0.09248007 0.07778851
 0.06826006 0.13992082 0.08836228 0.07472438 0.08192769 0.        ]",2523.095011475692,"[0.0696062  0.08870731 0.06977322 0.14844947 0.09248007 0.07778851
 0.06826006 0.13992082 0.08836228 0.07472438 0.08192769 0.        ]",0
2024-08-19 00:00:00+00:00,2569.554843999557,"[0.06997768 0.08835552 0.06845107 0.14796334 0.09246004 0.07726521
 0.0681331  0.14234697 0.08790686 0.07461163 0.08252857 0.        ]",2617.0867952590556,"[0.06997768 0.08835552 0.06845107 0.14796334 0.09246004 0.07726521
 0.0681331  0.14234697 0.08790686 0.07461163 0.08252857 0.        ]",0
2024-08-26 00:00:00+00:00,2640.65222591485,"[0.07051244 0.08738689 0.06850818 0.15096661 0.09318013 0.07533453
 0.06807789 0.14166217 0.08812736 0.07477824 0.08146556 0.        ]",2664.8229067428715,"[0.07051244 0.08738689 0.06850818 0.15096661 0.09318013 0.07533453
 0.06807789 0.14166217 0.08812736 0.07477824 0.08146556 0.        ]",0
