date,initial_wealth,initial_weights,end_wealth,end_weights,transaction_cost
2024-01-29 00:00:00+00:00,2000.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],2012.1969349818078,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.        ]",11
2024-02-05 00:00:00+00:00,2017.739950789189,"[0.09071391 0.0900113  0.0904314  0.09089193 0.09173396 0.09316969
 0.08936369 0.090896   0.08886061 0.09194909 0.09197843 0.        ]",2009.7472802433738,"[1.66533454e-16 5.55111512e-17 9.04313994e-02 4.16333634e-17
 5.55111512e-17 3.54561103e-02 8.93636881e-02 0.00000000e+00
 2.99409222e-01 2.99417864e-01 1.85921716e-01 0.00000000e+00]",9
2024-02-12 00:00:00+00:00,2027.7727852078208,"[1.69083132e-16 5.48648114e-17 9.20589137e-02 4.18440026e-17
 5.55257663e-17 3.42498962e-02 8.87752567e-02 0.00000000e+00
 3.01474378e-01 3.00073915e-01 1.83367641e-01 0.00000000e+00]",2031.6373214989574,"[0.09090909 0.09090909 0.09205891 0.09090909 0.09090909 0.09090909
 0.08877526 0.09090909 0.09131363 0.09131094 0.09108672 0.        ]",9
2024-02-19 00:00:00+00:00,2059.8059774119056,"[0.0914135  0.09054039 0.09121381 0.09118179 0.09132959 0.09086986
 0.08935355 0.09053098 0.09113865 0.09144761 0.09098027 0.        ]",2088.408705448527,"[0.0914135  0.09054039 0.09121381 0.09118179 0.09132959 0.09086986
 0.08935355 0.09053098 0.09113865 0.09144761 0.09098027 0.        ]",0
2024-02-26 00:00:00+00:00,2105.705668909421,"[0.09184247 0.09013457 0.09170638 0.09041036 0.09155886 0.09252478
 0.08824035 0.09168882 0.09003989 0.08976407 0.09208945 0.        ]",2123.422269389058,"[0.09184247 0.09013457 0.09170638 0.09041036 0.09155886 0.09252478
 0.08824035 0.09168882 0.09003989 0.08976407 0.09208945 0.        ]",0
2024-03-04 00:00:00+00:00,2133.7101874186733,"[0.092844   0.08921796 0.09234295 0.09071137 0.09170226 0.09058888
 0.08864045 0.09270057 0.09255292 0.0893862  0.08931244 0.        ]",2144.551467181227,"[0.092844   0.08921796 0.09234295 0.09071137 0.09170226 0.09058888
 0.08864045 0.09270057 0.09255292 0.0893862  0.08931244 0.        ]",0
2024-03-11 00:00:00+00:00,2144.099251753326,"[0.0943706  0.08890043 0.09591362 0.09111023 0.0915266  0.08985637
 0.08909559 0.09011187 0.09215134 0.08875175 0.0882116  0.        ]",2144.9692960223397,"[0.00162753 0.14394666 0.21029769 0.0015713  0.00157848 0.08985637
 0.16238587 0.00155408 0.192901   0.15748349 0.03679753 0.        ]",10
2024-03-18 00:00:00+00:00,2168.4689085941227,"[0.00162    0.14693001 0.20992713 0.00157828 0.00160193 0.09073261
 0.16086005 0.0015207  0.19201326 0.15586259 0.03735344 0.        ]",2181.0201809368577,"[0.00162    0.         0.12646781 0.00157828 0.00160193 0.28039032
 0.26541375 0.0015207  0.         0.28405376 0.03735344 0.        ]",6
2024-03-25 00:00:00+00:00,2208.3377923306775,"[0.00163242 0.         0.1286518  0.00159107 0.00159651 0.275212
 0.26657391 0.00154775 0.         0.28598608 0.03720847 0.        ]",2253.9013814922664,"[0.3        0.         0.25205671 0.00159107 0.00159651 0.01203089
 0.26657391 0.00154775 0.11489282 0.01250188 0.03720847 0.        ]",5
2024-04-01 00:00:00+00:00,2253.649345092598,"[0.29964593 0.         0.26188418 0.00157046 0.00159301 0.01192709
 0.25951615 0.00150289 0.11404803 0.01212157 0.0361907  0.        ]",2215.2742192595138,"[0.         0.         0.10499222 0.00157046 0.00159301 0.12173095
 0.09246587 0.00150289 0.25126883 0.29786178 0.12701399 0.        ]",7
